0.4195,3.1488,0.4305,1.0133
0.5178,0.3609,0.6748,0.6204
0.6415,0.3038,0.6787,0.5825
0.6674,0.2890,0.6876,0.5652
0.6746,0.2807,0.7062,0.5439
0.6969,0.2700,0.7125,0.5295
0.6843,0.2707,0.7189,0.5317
0.7032,0.2607,0.7351,0.5258
0.7139,0.2554,0.7331,0.5066
0.7053,0.2600,0.7390,0.5045
0.7250,0.2553,0.7439,0.4988
0.7205,0.2499,0.7498,0.4969
0.7291,0.2501,0.7542,0.4863
0.7312,0.2458,0.7449,0.4795
0.7421,0.2373,0.7018,0.5585
0.7174,0.2491,0.7625,0.4704
0.7362,0.2378,0.7419,0.4910
0.7424,0.2312,0.7689,0.4513
0.7430,0.2323,0.7630,0.4575
0.7607,0.2243,0.7723,0.4438
0.7688,0.2176,0.7831,0.4305
0.7520,0.2253,0.7698,0.4476
0.7733,0.2129,0.7811,0.4255
0.7887,0.2101,0.7875,0.4185
0.7883,0.2032,0.7977,0.4083
0.7803,0.2037,0.7796,0.4201
0.7893,0.2036,0.7987,0.4018
0.7853,0.2033,0.7987,0.4073
0.7870,0.2068,0.8012,0.3981
0.7947,0.1983,0.7929,0.4111
0.8038,0.1954,0.8022,0.3986
0.8131,0.1870,0.8159,0.3881
0.7987,0.1908,0.8183,0.3760
0.8087,0.1882,0.8271,0.3824
0.8172,0.1859,0.8271,0.3648
0.8166,0.1843,0.8315,0.3570
0.8073,0.1870,0.8085,0.3905
0.8213,0.1774,0.8384,0.3450
0.8293,0.1725,0.8384,0.3431
0.8286,0.1747,0.8350,0.3591
0.8378,0.1649,0.8438,0.3423
0.8391,0.1652,0.8399,0.3292
0.8383,0.1656,0.8188,0.3843
0.8345,0.1700,0.8350,0.3346
0.8316,0.1710,0.8477,0.3368
0.8477,0.1541,0.8550,0.3107
0.8438,0.1602,0.8590,0.3105
0.8554,0.1494,0.8340,0.3602
0.8504,0.1550,0.8702,0.2977
0.8647,0.1424,0.8609,0.3175
0.8544,0.1486,0.8746,0.2825
0.8704,0.1365,0.8820,0.2717
0.8750,0.1337,0.8800,0.2880
0.8740,0.1349,0.8678,0.3093
0.8737,0.1364,0.8805,0.2682
0.8805,0.1278,0.8844,0.2538
0.8914,0.1295,0.8883,0.2518
0.8813,0.1346,0.8590,0.3133
0.8697,0.1355,0.8830,0.2678
0.8953,0.1147,0.8967,0.2381
0.8865,0.1220,0.8986,0.2466
0.8953,0.1184,0.9040,0.2305
0.9074,0.1057,0.9045,0.2234
0.9044,0.1067,0.9079,0.2118
0.9008,0.1061,0.9030,0.2169
0.9103,0.1001,0.9021,0.2177
0.9133,0.0996,0.8996,0.2388
0.9131,0.0937,0.9079,0.2130
0.9076,0.1023,0.9114,0.1993
0.9192,0.0900,0.7880,0.5468
0.6795,0.3276,0.7610,0.4725
0.7661,0.2199,0.8335,0.3728
0.8340,0.1713,0.8732,0.3011
0.8684,0.1423,0.8883,0.2731
0.8889,0.1246,0.8898,0.2701
0.8963,0.1185,0.8972,0.2426
0.8953,0.1192,0.9025,0.2429
0.9065,0.1054,0.9104,0.2180
0.9073,0.1057,0.9099,0.2171
0.9103,0.0966,0.9202,0.2083
0.9167,0.0938,0.9153,0.2042
0.9139,0.0970,0.9123,0.2021
0.8762,0.1303,0.7316,0.4814
0.7631,0.2129,0.8394,0.3382
0.8411,0.1586,0.8648,0.3077
0.8599,0.1468,0.8712,0.2873
0.8811,0.1308,0.8781,0.2791
0.8829,0.1314,0.8844,0.2671
0.8898,0.1237,0.8888,0.2588
0.8980,0.1137,0.8913,0.2490
0.8951,0.1141,0.8864,0.2754
0.8895,0.1214,0.8942,0.2401
0.8975,0.1154,0.8952,0.2422
0.9018,0.1056,0.9065,0.2267
0.9123,0.1021,0.8923,0.2517
0.9068,0.1048,0.9060,0.2250
0.9116,0.0986,0.8981,0.2417
0.8978,0.1176,0.8658,0.2858
0.9003,0.1107,0.9079,0.2193
0.9184,0.0914,0.9148,0.2010
